,species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,density
163,Coereba flaveola,,10.01,386,,,,,,,,-4.187774292647958
164,Setophaga coronata,,0.0,7097,,,,,,,,
165,Myiarchus sp.,,0.0,557,,,,,,,,
166,Leiothlypis virginiae,,0.0,1695,,,,,,,,
167,Empidonax hammondii,,10.44,680,,,,,,,,-3.837156030643827
168,Setophaga petechia,,0.0,2629,,,,,,,,
169,Rupornis magnirostris,,0.0,1828,,,,,,,,
170,Tityra semifasciata,,79.3,1068,,,,,,,,-4.907906915502433
171,Megarynchus pitangua,,69.91,1561,,,,,,,,-5.271110987800465
172,Geothlypis trichas,,9.54,730,,,,,,,,-3.9491198429487886
173,Cyanerpes cyaneus,,14.0,1165,,,,,,,,-4.834937184277138
174,Crotophaga sulcirostris,,82.04,3217,,,,,,,,-5.577845283028811
175,Chondestes grammacus,,29.0,1740,,,,,,,,-3.917538227659178
176,Ortalis vetula,,562.6,389,,,,,,,,-5.716464375726491
177,Herpetotheres cachinnans,,623.58,420,,,,,,,,-5.155278053592469
178,Melozone fusca,,0.0,25,,,,,,,,
179,Melanerpes hypopolius,,52.4,2366,,,,,,,,-4.423028575811441
180,Morococcyx erythropygus,,64.53,1029,,,,,,,,-4.4730709967020434
181,Icterus galbula,,32.83,1242,,,,,,,,-3.7628097228575155
182,Pitangus sulphuratus,,62.85,10326,,,,,,,,-4.709304588826116
183,Chlorospingus flavopectus,,0.0,1392,,,,,,,,
184,Calidris minutilla,,22.88,1308,,,,,,,,-5.144960084217066
185,Recurvirostra americana,,304.48,313,,,,,,,,-5.788267268566389
186,Saltator atriceps,,83.79,1149,,,,,,,,-4.908749536065021
187,Cyanolyca nanus,,0.0,707,,,,,,,,
188,Anthus rubescens,,20.68,454,,,,,,,,-4.588283448881546
189,Tachybaptus dominicus,,132.59,2240,,,,,,,,-5.840788631693678
190,Peucedramus taeniatus,,11.0,1372,,,,,,,,-4.050616615652803
191,Saltator coerulescens,,54.9,676,,,,,,,,-4.474445402429636
192,Amazona albifrons,,206.0,1519,,,,,,,,-5.682464433964722
193,Tringa flavipes,,77.5,459,,,,,,,,-5.72167518569031
194,Cochlearius cochlearius,,643.21,415,,,,,,,,-5.9043301817249345
195,Cassiculus melanicterus,,0.0,2462,,,,,,,,
196,Fulica americana,,636.74,1992,,,,,,,,-5.845642712638615
197,Setophaga occidentalis,,0.0,1727,,,,,,,,
198,Piranga ludoviciana,,28.1,6139,,,,,,,,-3.784861761930691
199,Ammodramus savannarum,,17.61,325,,,,,,,,-4.3743971189173285
200,Actitis macularius,,40.4,2628,,,,,,,,-5.215881845167495
201,Pachyramphus aglaiae,,29.69,1748,,,,,,,,-3.898599269386543
202,Egretta caerulea,,338.61,1604,,,,,,,,-5.4869727740426075
203,Spizella pallida,,11.2,608,,,,,,,,-4.153208855650377
204,Tiaris olivaceus,,8.5,484,,,,,,,,-4.558265311135679
205,Pyrocephalus rubinus,,14.4,8761,,,,,,,,-3.7510935569310577
206,Leiothlypis celata,,0.0,3241,,,,,,,,
207,Sula leucogaster,,1288.82,517,,,,,,,,-5.670974886106066
208,Turdus assimilis,,70.2,1176,,,,,,,,-4.169827219619405
209,Megaceryle alcyon,,148.0,860,,,,,,,,-5.7974888037010714
210,Leucophaeus atricilla,,0.0,1493,,,,,,,,
211,Thalasseus maximus,,0.0,1104,,,,,,,,
212,Regulus calendula,,6.19,1890,,,,,,,,-5.039551513251826
213,Phaethornis longirostris,,6.0,166,,,,,,,,-5.791059118307903
214,Icterus cucullatus,,24.3,842,,,,,,,,-4.299653935566071
215,Vireo nelsoni,,9.4,582,,,,,,,,-4.045261208740835
216,Vireo brevipennis,,11.8,949,,,,,,,,-3.707700091617478
217,Empidonax minimus,,10.0,1838,,,,,,,,-3.886726544828727
218,Thryophilus pleurostictus,,0.0,1725,,,,,,,,
219,Chordeiles acutipennis,,48.42,570,,,,,,,,-5.811756308639262
220,Icterus mesomelas,,39.9,107,,,,,,,,-4.229846603826248
221,Eupsittula nana,,0.0,703,,,,,,,,
